metric a1 a2 a3 a4 a5
kbc  1.000  1.386  1.582  1.016  1.222
simple  1.000  0.637  0.667  0.970  0.595
mandelbrot  1.000  1.022  1.000  1.000  1.000
life  1.000  0.991  0.998  1.004  0.814
msort  1.000  0.900  0.931  0.931  0.497
msort-rf  1.000  0.560  0.593  0.913  0.409
mpuz  1.000  0.982  0.951  0.992  0.779
barnes-hut  1.000  0.938  0.885  0.773  0.779
logic  1.000  0.999  0.901  0.929  0.734
DLX  1.000  0.670  0.693  1.377  0.585
professor  1.000  0.977  1.022  0.939  1.197
lexgen  1.000  0.915  0.856  0.834  0.683
tsp  1.000  0.877  0.884  1.041  0.764
vliw  1.000  0.689  0.733  0.752  0.565
mlyacc  1.000  0.866  0.801  0.880  0.725
zebra  1.000  0.962  0.925  1.016  0.838
ratio  1.000  0.930  0.934  0.993  0.831
fib37  1.000  1.003  0.997  1.005  0.969
tak  1.000  0.996  0.999  0.998  0.942
