metric a1 a2 a3
kbc  1.000  2.154  2.663
simple  1.000  0.897  0.992
mandelbrot  1.000  2.362  2.500
life  1.000  1.669  2.035
msort  1.000  0.764  1.408
msort-rf  1.000  0.866  1.264
mpuz  1.000  2.593  3.280
barnes-hut  1.000  6.122  7.525
logic  1.000  4.804  6.670
DLX  1.000  0.376  0.458
professor  1.000  1.759  1.444
lexgen  1.000  1.929  2.665
tsp  1.000  1.580  1.826
vliw  1.000  1.760  2.180
mlyacc  1.000  1.069  1.291
zebra  1.000  4.283  4.984
ratio  1.000  5.638  5.926
fib37  1.000  1.196  1.184
tak  1.000  1.807  1.837
